Timestamp,Mode,Analysis Title,Channel Name,Creator Name,Creator Industry,Sponsor Name,Sponsor Industry
2025-04-23 13:50:55,2,Channel Analysis: 5 videos,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),Supercell,Mobile Game Development
2025-04-23 13:50:55,2,Channel Analysis: 5 videos,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),Openinapp,Mobile App Linking
2025-04-23 13:50:55,2,Channel Analysis: 5 videos,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),WinZO,Online Gaming Platform
2025-04-23 14:02:19,2,Java Full Course for Beginners,Programming with Mosh,Mosh Hamedani,Software Development Education,JetBrains (IntelliJ),Software Development Tools
2025-04-23 14:04:23,2,Our Thrilling World Championship Match for Golden Ticket,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),Supercell Store,Video Game Company / Online Store
2025-04-23 14:04:23,2,Our Thrilling World Championship Match for Golden Ticket,Sumit 007,Sumit 007,Mobile Gaming (Clash of Clans),Openinapp,App Deep Linking Platform
2025-04-23 14:11:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Content Creation,Supercell,Video Game Development
2025-04-23 14:11:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Content Creation,Openinapp,App Marketing/Link Management
2025-04-23 14:11:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Content Creation,WinZO,Online Gaming Platform
2025-04-23 14:11:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Content Creation,WWE (World Wrestling Entertainment),Professional Wrestling / Sports Entertainment
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Viewstats,Software Analytics
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Feastables,Snack Food
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Lunchly,Prepared Meals
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Redbull,Beverage (Energy Drink)
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),DoorDash,Food Delivery Service
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),T-Mobile,Telecommunications
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),.store,Domain Name Registration
2025-04-23 14:12:42,2,Channel Analysis: 10 videos,MrBeast,MrBeast,YouTube Content Creation (Specifically Challenge-Based and Philanthropic Content),Extreme Music,Music Licensing
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",Viewstats,YouTube Analytics Software
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",Feastables,Food and Beverage (Snack Company - Chocolate)
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",Redbull,Beverage (Energy Drink)
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",DoorDash,Food Delivery
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",Sharing Excess,Food Redistribution and Anti-Hunger
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",Extreme Music,Music Licensing
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",T-Mobile,Telecommunications
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",.store,Domain Name Registry
2025-04-23 14:13:18,2,Channel Analysis: 10 videos,MrBeast,MrBeast,"YouTube Content Creation (specifically, large-scale challenges, philanthropy, and stunts)",Extrememusic.com,Music Production/Licensing
2025-04-23 14:14:01,2,Channel Analysis: 10 videos,Judo Sloth Gaming,Judo Sloth Gaming,Mobile Gaming: Clash of Clans,Supercell,Mobile Game Developer
2025-04-23 14:14:01,2,Channel Analysis: 10 videos,Judo Sloth Gaming,Judo Sloth Gaming,Mobile Gaming: Clash of Clans,Clash of Clans,Mobile Game
2025-04-23 14:14:01,2,Channel Analysis: 10 videos,Judo Sloth Gaming,Judo Sloth Gaming,Mobile Gaming: Clash of Clans,WWE,Professional Wrestling
2025-04-23 14:14:51,2,Channel Analysis: 10 videos,Royal gaming 92,Royal gaming 92,Clash of Clans Gaming Content Creation,No Sponsor,N/A
2025-04-23 14:15:58,2,Channel Analysis: 10 videos,iTzu Gaming,iTzu Gaming,Clash of Clans Content Creation and Esports,Samsung Galaxy,Consumer Electronics
2025-04-23 14:15:58,2,Channel Analysis: 10 videos,iTzu Gaming,iTzu Gaming,Clash of Clans Content Creation and Esports,AT&T,Telecommunications
2025-04-23 14:15:58,2,Channel Analysis: 10 videos,iTzu Gaming,iTzu Gaming,Clash of Clans Content Creation and Esports,Supercell,Mobile Game Developer
2025-04-24 22:53:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Gaming Content Creation,Supercell,Video Game Developer
2025-04-24 22:53:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Gaming Content Creation,Openinapp,Mobile App Development/Marketing
2025-04-24 22:53:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Gaming Content Creation,HaaNaa,Finance/Financial Technology
2025-04-24 22:53:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Gaming Content Creation,Supercell Store,Video Game Company/Mobile Games
2025-04-24 22:53:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Gaming Content Creation,WinZO,Online Gaming Platform
2025-04-24 22:53:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Gaming Content Creation,WWE (World Wrestling Entertainment),Professional Wrestling / Entertainment
2025-04-24 22:53:42,2,Channel Analysis: 10 videos,Sumit 007,Sumit 007,Clash of Clans Gaming Content Creation,OpeninApp,Mobile App Development/Link Management
2025-04-24 22:54:16,2,Channel Analysis: 10 videos,Judo Sloth Gaming,Judo Sloth Gaming,Mobile Gaming (Clash of Clans),Supercell,Video Game Developer
2025-04-24 22:54:16,2,Channel Analysis: 10 videos,Judo Sloth Gaming,Judo Sloth Gaming,Mobile Gaming (Clash of Clans),Clash of Clans,Mobile Game
2025-04-24 22:54:16,2,Channel Analysis: 10 videos,Judo Sloth Gaming,Judo Sloth Gaming,Mobile Gaming (Clash of Clans),WWE,Sports Entertainment
2025-04-25 00:23:30,2,Java Full Course for Beginners,Programming with Mosh,Mosh Hamedani,Software Development Education,IntelliJ,Software Development Tools
2025-04-27 21:02:15,7,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bots & Software Engineering Education,Anthropic,Artificial Intelligence
2025-04-27 21:02:15,7,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bots & Software Engineering Education,Zerodha,Financial Technology (Stock Trading Platform)
2025-04-27 21:02:15,7,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bots & Software Engineering Education,Colosseum,Blockchain Hackathons and Startup Incubation
2025-04-27 21:02:15,7,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bots & Software Engineering Education,Solana,Blockchain Technology
2025-04-27 21:02:15,7,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bots & Software Engineering Education,Superteam India,Web3 Community and Startup Support
2025-04-28 19:43:14,9,Live Coding a Gambling Strategy,Harkirat Singh,Harkirat Singh,Software Engineering/Tech Career Advice/Coding Tutorials,No Sponsor,N/A
2025-04-28 19:51:07,9,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bot Development & Tech Career Guidance,Anthropic,Artificial Intelligence Research and Development
2025-04-28 19:51:07,9,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bot Development & Tech Career Guidance,Zerodha,Stock Brokerage
2025-04-28 19:51:07,9,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bot Development & Tech Career Guidance,Colosseum,Blockchain/Web3 (Hackathon Platform)
2025-04-28 19:51:07,9,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bot Development & Tech Career Guidance,Solana,Blockchain/Web3 (Blockchain Platform)
2025-04-28 19:51:07,9,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,AI-powered Trading Bot Development & Tech Career Guidance,Superteam India,Web3 Community/Startup Support
2025-04-28 22:47:29,8,Live Coding a Gambling Strategy,Harkirat Singh,Harkirat Singh,Software Engineering/Tech Career Advice & Education,No Sponsor,N/A
2025-04-28 22:50:01,8,Live Coding a Gambling Strategy,Harkirat Singh,Harkirat Singh,"Software Engineering Education & Career Advice (specifically targeting tech jobs, interview preparation, and career paths in the tech industry)",No Sponsor,N/A
2025-04-28 22:55:42,8,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,Software Engineering & Career Advice (specifically in tech industry jobs and career paths),Open Source Cohort (100xdevs.com),Online Education / Tech Training
2025-04-28 22:55:42,8,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,Software Engineering & Career Advice (specifically in tech industry jobs and career paths),Anthropic,Artificial Intelligence
2025-04-28 22:55:42,8,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,Software Engineering & Career Advice (specifically in tech industry jobs and career paths),Zerodha,Financial Technology/Brokerage
2025-04-28 22:55:42,8,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,Software Engineering & Career Advice (specifically in tech industry jobs and career paths),Colosseum,Blockchain/Web3 (Hackathon Organizer)
2025-04-28 22:55:42,8,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,Software Engineering & Career Advice (specifically in tech industry jobs and career paths),Solana,Blockchain/Cryptocurrency
2025-04-28 22:55:42,8,Channel Analysis: 5 videos,Harkirat Singh,Harkirat Singh,Software Engineering & Career Advice (specifically in tech industry jobs and career paths),Superteam India,Web3 Startup Incubator/Accelerator
